Track ID,Entry time,Exit Time,Movement Tracks
3,2024-12-10 12:03:34.620905,2024-12-10 12:04:25.070340,547,204,574,194,564,201
6,2024-12-10 12:04:14.746253,2024-12-10 12:04:28.844603,124,386,143,212,153,262,191,259,185,264,120,347,126,311
1,2024-12-10 12:03:33.089464,2024-12-10 12:04:29.065296,195,352,217,258,307,263,380,259,376,303,359,258,275,253,229,255,297,301,390,256,516,350,522,298,573,300
2,2024-12-10 12:03:34.620905,2024-12-10 12:04:31.677070,738,312,772,343,754,347,683,352,611,266,566,306,656,310,725,253,640,256,651,300,727,260,715,262,643,254,607,259,553,255,525,253,520,265,510,305,533,272,558,196
10,2024-12-10 12:04:27.935981,2024-12-10 12:04:32.811050,467,253,441,255,395,253,375,299,367,298,396,301,401,302,460,347,545,302,544,306,549,303,539,303,535,304,540,301
11,2024-12-10 12:04:29.776953,2024-12-10 12:04:40.534907,386,266,384,302,382,304,394,348,377,349,384,352,466,350,478,345,486,346,514,348,554,346,560,303,548,301,538,300,546,306,546,346,535,346,525,347,476,252,511,296,525,217,562,193,569,154,615,121,640,120,641,102,636,66
15,2024-12-10 12:04:36.420193,471,275,257,214,301,286,302,367,302,382,346,461,256,465,346,452,348,382,256,386,300,458,301
